WordID,TestID,TestName,Word,LanguageCode,WordPhonetic,Description,Image
292,16,Mondly2,mekko,fi,,dress,
293,16,Mondly2,väri,fi,,colour,
294,16,Mondly2,juokkue,fi,,team,
295,17,Mondly-Jun24,rypäleet,fi,,grapes,
296,17,Mondly-Jun24,appelsiini,fi,,orange,
297,17,Mondly-Jun24,sitruuna,fi,,lemon,
298,17,Mondly-Jun24,keittoa,fi,,soup,
299,17,Mondly-Jun24,varten,fi,,for,
300,17,Mondly-Jun24,tarvitsemme,fi,tarvita,we need,
301,17,Mondly-Jun24,varata,fi,I reserve = varaan,to reserve,
302,17,Mondly-Jun24,pitää,fi,sinä pidät (pidit) ; hän pitää (piti),to like,
303,17,Mondly-Jun24,kahdelle,fi,,for two (when booking sth),
304,17,Mondly-Jun24,yhtään,fi,yhtään ravintolaa,any (any restaurant),
305,17,Mondly-Jun24,päivällinen,fi,,dinner,
306,17,Mondly-Jun24,päivällisellä,fi,,at dinner,
307,17,Mondly-Jun24,näemme,fi,he see = hän näkee,we see,
308,17,Mondly-Jun24,haluaisin omenamehun,fi,,I would like an apple juice,
309,17,Mondly-Jun24,lasillisen vettä,fi,,a glass of water,
310,17,Mondly-Jun24,jogurtti,fi,,yoghurt,
311,17,Mondly-Jun24,papu,fi,,bean,
312,17,Mondly-Jun24,minä en pidä,fi,,i don't like ...,
313,17,Mondly-Jun24,vihannekset,fi,,vegetables,
314,17,Mondly-Jun24,lusikka,fi,,spoon,
315,17,Mondly-Jun24,tuoda,fi,minä tuon (toin); hän tuo (toi),to bring,
316,17,Mondly-Jun24,kadulla,fi,street = katu,in the street,
317,17,Mondly-Jun24,näetko tuon,fi,,do you see that...,
318,18,MondlyApr24,auringonnousu,fi,,sunrise,
319,18,MondlyApr24,auringonlasku,fi,,sunset,
320,18,MondlyApr24,aurinko,fi,,the sun,
321,18,MondlyApr24,aurinkoni,fi,,my sun,
322,18,MondlyApr24,kuutamo,fi,,moonlight,
323,18,MondlyApr24,auringonpaiste,fi,,the sunshine,
324,18,MondlyApr24,yö on pimeä,fi,,the night is dark,
325,18,MondlyApr24,maanviljelijä,fi,viljelijä,farmer,
326,18,MondlyApr24,insinööri,fi,,engineer,
327,18,MondlyApr24,sairaanhoitaja,fi,,nurse,
328,18,MondlyApr24,sairaala,fi,,hospital,
329,18,MondlyApr24,korut,fi,,jewellery,
330,18,MondlyApr24,ale,fi,,a sale,
331,18,MondlyApr24,sormus,fi,,rings,
332,18,MondlyApr24,kallis,fi,,expensive,
333,19,MondlyMay24,teltta,fi,,tent,
334,19,MondlyMay24,autotalli,fi,,garage,
335,19,MondlyMay24,portaat,fi,,stairs,
336,19,MondlyMay24,seinä,fi,,wall,
337,19,MondlyMay24,ikkuna,fi,,window,
338,19,MondlyMay24,pannu,fi,,pan,
339,19,MondlyMay24,patja,fi,,mattress (nệm),
340,19,MondlyMay24,lamppu,fi,,lamp,
341,19,MondlyMay24,tyyny,fi,,pillow,
342,19,MondlyMay24,pölynimuri,fi,,vacuum cleaner,
